59 1629117406.237695787 0 systemd-journal (377) > read cwd=/ fd=17(<t>) size=8  latency=0 exepath=/usr/lib/systemd/systemd-journald cmd= /lib/systemd/systemd-journald 
79 1629117406.253607682 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
80 1629117406.253627913 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
81 1629117406.253629621 2 gmain (1681) > read cwd=/home/victim/ fd=14(<i>) size=4096  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
82 1629117406.253643961 3 gmain (2164) > read cwd=/home/victim/ fd=11(<i>) size=4096  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
83 1629117406.253669577 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
84 1629117406.253673714 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
85 1629117406.253690905 3 gmain (2164) > read cwd=/home/victim/ fd=7(<e>) size=16  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
86 1629117406.253692553 2 gmain (1681) > write cwd=/home/victim/ fd=5(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
87 1629117406.253715974 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
88 1629117406.253728276 2 gmain (1681) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
91 1629117406.253775254 3 tracker-miner-f (1681) > read cwd=/home/victim/ fd=5(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
98 1629117406.257225018 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
99 1629117406.257242249 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
127 1629117406.284673606 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
129 1629117406.284691537 2 gmain (1681) > read cwd=/home/victim/ fd=14(<i>) size=4096  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
134 1629117406.284743349 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
135 1629117406.284747757 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
137 1629117406.284765819 2 gmain (1681) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
165 1629117406.354162861 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
166 1629117406.354179391 3 gmain (2164) > read cwd=/home/victim/ fd=11(<i>) size=4096  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
167 1629117406.354216136 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
168 1629117406.354232946 3 gmain (2164) > read cwd=/home/victim/ fd=7(<e>) size=16  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
177 1629117406.357590892 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
178 1629117406.357611869 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
209 1629117406.386144453 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
210 1629117406.386160922 2 gmain (1681) > read cwd=/home/victim/ fd=14(<i>) size=4096  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
211 1629117406.386215689 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
212 1629117406.386234302 2 gmain (1681) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
231 1629117406.414292707 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
232 1629117406.414855098 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
238 1629117406.415002510 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=40(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
239 1629117406.415375452 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=40(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
245 1629117406.415513937 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
246 1629117406.415532910 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
247 1629117406.415559998 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
248 1629117406.415610418 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
249 1629117406.415810270 3 gnome-shell (1952) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
250 1629117406.415944898 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
251 1629117406.415968831 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
252 1629117406.415975673 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
253 1629117406.415987424 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
